price,Empfohlenes Alter in Jahren (mind.),Empfohlenes Alter in Jahren (max.),Anzahl Teile,Verpackungsbreite,Verpackungstiefe,Verpackungshöhe,Paketgewicht
4.95,7.0,99.0,348.0,262.0,317.0,70.5,600.0
59.95,8.0,99.0,587.0,382.0,262.0,70.5,873.0
459.0,7.0,99.0,348.0,262.0,317.0,70.5,600.0
119.0,6.0,99.0,698.0,378.0,480.0,70.5,1370.0
36.95,6.0,99.0,298.0,262.0,282.0,59.0,405.0
46.95,8.0,99.0,257.0,191.0,354.0,59.0,458.0
59.95,7.0,99.0,306.0,262.0,282.0,76.0,570.0
32.95,7.0,99.0,242.0,191.0,262.0,72.0,426.0
18.95,4.0,99.0,42.0,46.0,141.0,122.0,98.0
11.95,4.0,99.0,53.0,141.0,157.0,45.0,125.0
29.95,8.0,99.0,255.0,191.0,262.0,46.0,305.0
59.95,8.0,99.0,553.0,282.0,262.0,95.5,867.0
11.95,4.0,99.0,57.0,141.0,191.0,46.0,140.0
26.95,4.0,99.0,94.0,141.0,262.0,61.0,324.0
11.95,6.0,99.0,85.0,122.0,141.0,46.0,103.0
29.95,2.0,99.0,25.0,262.0,222.0,76.0,353.0
54.95,4.0,99.0,950.0,262.0,382.0,94.0,1030.0
79.95,8.0,99.0,603.0,262.0,382.0,56.5,760.0
269.0,18.0,99.0,1890.0,378.0,582.0,87.0,2520.0
79.95,6.0,99.0,320.0,262.0,382.0,56.5,532.0
24.95,5.0,12.0,8.0,262.0,317.0,70.5,600.0
11.95,4.0,99.0,58.0,141.0,157.0,45.0,125.0
139.0,9.0,99.0,1192.0,378.0,480.0,70.5,1840.0
26.95,5.0,99.0,134.0,191.0,205.0,61.0,256.0
18.95,4.0,99.0,53.0,141.0,191.0,46.0,134.0
24.95,5.0,99.0,144.0,222.0,262.0,62.0,360.0
109.0,18.0,99.0,1000.0,262.0,382.0,94.0,1090.0
11.95,7.0,99.0,143.0,141.0,157.0,71.0,188.0
11.95,7.0,99.0,72.0,122.0,141.0,46.0,103.0
52.95,4.0,99.0,200.0,191.0,354.0,70.0,560.0
24.95,4.0,99.0,333.0,191.0,262.0,72.0,438.0
199.0,18.0,99.0,2164.0,378.0,480.0,112.0,2410.0
54.95,7.0,99.0,344.0,262.0,382.0,70.5,775.0
11.95,7.0,99.0,92.0,122.0,141.0,61.0,120.0
4.95,7.0,99.0,348.0,262.0,317.0,70.5,600.0
74.95,18.0,99.0,827.0,191.0,262.0,118.0,689.0
17.95,7.0,99.0,175.0,141.0,262.0,48.0,240.0
11.95,4.0,99.0,140.0,141.0,191.0,46.0,141.0
26.95,5.0,99.0,125.0,191.0,205.0,61.0,245.0
179.0,8.0,99.0,1066.0,378.0,480.0,70.5,1840.0
149.0,2.0,99.0,95.0,378.0,582.0,118.0,2170.0
169.0,18.0,99.0,1998.0,380.0,322.0,210.0,3070.0
54.95,9.0,99.0,560.0,59.0,282.0,262.0,486.0
29.95,6.0,99.0,231.0,262.0,382.0,70.5,391.0
109.0,7.0,99.0,496.0,262.0,382.0,56.5,660.0
59.95,7.0,99.0,226.0,282.0,480.0,61.0,630.0
11.95,5.0,99.0,86.0,141.0,157.0,61.0,151.0
199.0,18.0,99.0,1808.0,390.0,620.0,120.0,2830.0
109.0,9.0,99.0,777.0,282.0,480.0,61.0,1020.0
46.95,9.0,99.0,349.0,262.0,191.0,61.0,448.0
54.95,6.0,99.0,401.0,262.0,382.0,56.5,656.0
229.0,6.0,99.0,1517.0,118.0,582.0,378.0,3030.0
26.95,6.0,99.0,119.0,141.0,191.0,46.0,125.0
54.95,8.0,99.0,569.0,262.0,382.0,56.5,880.0
84.95,18.0,99.0,565.0,354.0,191.0,91.0,750.0
11.95,6.0,99.0,94.0,122.0,141.0,61.0,130.0
99.0,9.0,99.0,794.0,378.0,354.0,70.5,1090.0
119.0,9.0,99.0,990.0,378.0,480.0,70.5,1360.0
24.95,5.0,99.0,122.0,262.0,191.0,61.0,370.0
54.95,2.0,99.0,67.0,282.0,480.0,91.0,1090.0
11.95,7.0,99.0,65.0,122.0,141.0,46.0,110.0
69.95,8.0,99.0,808.0,262.0,382.0,70.5,1140.0
119.0,8.0,99.0,985.0,378.0,480.0,94.0,1830.0
17.95,5.0,99.0,144.0,141.0,262.0,72.0,279.0
42.95,2.0,99.0,37.0,262.0,282.0,95.5,585.0
24.95,5.0,99.0,333.0,191.0,262.0,72.0,462.0
139.0,18.0,99.0,1212.0,378.0,480.0,70.5,1710.0
139.0,18.0,99.0,1606.0,262.0,317.0,70.5,600.0
11.95,6.0,99.0,157.0,141.0,157.0,71.0,177.0
54.95,7.0,99.0,304.0,262.0,382.0,56.5,620.0
36.95,6.0,99.0,278.0,262.0,282.0,59.0,405.0
139.0,18.0,99.0,4167.0,378.0,404.0,50.0,1750.0
42.95,2.0,99.0,50.0,94.0,382.0,262.0,758.0
149.0,18.0,99.0,2022.0,262.0,382.0,118.0,1770.0
299.0,18.0,99.0,2651.0,262.0,317.0,70.5,600.0
169.0,7.0,99.0,598.0,378.0,582.0,87.0,1470.0
52.95,8.0,99.0,600.0,282.0,262.0,95.0,910.0
54.95,5.0,99.0,900.0,262.0,382.0,94.0,1140.0
4.95,6.0,99.0,59.0,262.0,317.0,70.5,600.0
169.0,18.0,99.0,1379.0,282.0,480.0,118.0,1910.0
24.95,6.0,99.0,204.0,191.0,205.0,61.0,306.0
