price,Empfohlenes Alter in Jahren (mind.),Anzahl Teile,Verpackungsbreite,Verpackungstiefe,Verpackungshöhe,Ursprungsland_ Ungarn ,Ursprungsland_ China ,Ursprungsland_ Tschechische Republik ,LegoCategory_Rare,LegoCategory_LEGO City ,LegoCategory_LEGO Duplo ,LegoCategory_LEGO Star Wars ,LegoCategory_LEGO Super Mario ,LegoCategory_LEGO Friends 
59.95,9.0,665.0,262.0,382.0,70.5,0,0,0,1,0,0,0,0,0
24.95,1.5,15.0,191.0,354.0,91.0,0,1,0,0,0,1,0,0,0
39.95,8.0,364.0,222.0,262.0,76.0,0,0,1,1,0,0,0,0,0
59.95,4.0,155.0,262.0,382.0,56.5,0,0,1,1,0,0,0,0,0
169.0,9.0,1513.0,582.0,378.0,103.0,1,0,0,0,0,0,0,0,1
26.95,6.0,310.0,262.0,282.0,59.0,0,1,0,0,0,0,1,0,0
119.0,7.0,786.0,378.0,480.0,70.5,1,0,0,0,1,0,0,0,0
11.95,6.0,146.0,141.0,191.0,70.5,0,0,1,1,0,0,0,0,0
32.95,7.0,299.0,141.0,262.0,72.0,0,0,1,1,0,0,0,0,0
169.0,8.0,1682.0,378.0,582.0,87.0,0,1,0,0,0,0,0,0,1
59.95,6.0,454.0,282.0,480.0,61.0,1,0,0,0,1,0,0,0,0
599.0,18.0,5129.0,480.0,523.0,218.0,0,0,1,1,0,0,0,0,0
169.0,9.0,1176.0,378.0,582.0,87.0,0,0,1,1,0,0,0,0,0
24.95,5.0,190.0,191.0,262.0,61.0,0,0,1,0,1,0,0,0,0
94.95,8.0,703.0,378.0,354.0,70.5,0,0,1,1,0,0,0,0,0
46.95,6.0,181.0,191.0,262.0,61.0,0,1,0,1,0,0,0,0,0
54.95,2.0,71.0,282.0,480.0,91.0,0,1,0,0,0,1,0,0,0
4.95,6.0,83.0,262.0,317.0,70.5,0,0,1,1,0,0,0,0,0
11.95,7.0,163.0,141.0,157.0,61.0,1,0,0,1,0,0,0,0,0
32.95,8.0,252.0,191.0,262.0,61.0,0,0,1,1,0,0,0,0,0
11.95,6.0,95.0,141.0,191.0,46.0,0,0,1,1,0,0,0,0,0
59.95,4.0,187.0,262.0,382.0,56.5,0,1,0,1,0,0,0,0,0
46.95,6.0,320.0,262.0,382.0,70.5,0,0,1,1,0,0,0,0,0
149.0,2.0,142.0,480.0,582.0,124.0,0,1,0,0,0,1,0,0,0
199.0,7.0,843.0,282.0,540.0,91.0,0,0,1,1,0,0,0,0,0
26.95,4.0,88.0,141.0,262.0,61.0,0,1,0,1,0,0,0,0,0
74.95,8.0,747.0,282.0,540.0,59.0,0,1,0,1,0,0,0,0,0
74.95,6.0,668.0,282.0,540.0,78.5,0,0,1,0,1,0,0,0,0
54.95,9.0,755.0,262.0,382.0,56.5,0,0,1,1,0,0,0,0,0
149.0,9.0,1262.0,378.0,480.0,94.0,0,0,1,1,0,0,0,0,0
139.0,16.0,960.0,282.0,480.0,74.0,0,0,1,1,0,0,0,0,0
11.95,5.0,95.0,141.0,157.0,61.0,0,0,1,0,1,0,0,0,0
59.95,8.0,345.0,262.0,282.0,59.0,0,1,0,1,0,0,0,0,0
11.95,6.0,94.0,141.0,191.0,46.0,1,0,0,1,0,0,0,0,0
54.95,2.0,40.0,282.0,480.0,91.0,0,1,0,0,0,1,0,0,0
26.95,8.0,272.0,191.0,262.0,61.0,0,0,1,1,0,0,0,0,0
74.95,2.0,59.0,378.0,480.0,94.0,0,0,1,0,0,1,0,0,0
26.95,7.0,348.0,262.0,317.0,70.5,0,0,1,1,0,0,0,0,0
119.0,12.0,1348.0,378.0,480.0,94.0,1,0,0,0,0,0,0,0,1
54.95,8.0,491.0,262.0,382.0,56.5,1,0,0,0,0,0,0,0,1
4.95,6.0,95.0,262.0,317.0,70.5,0,0,1,1,0,0,0,0,0
46.95,8.0,387.0,222.0,262.0,76.0,0,0,1,1,0,0,0,0,0
24.95,8.0,258.0,191.0,262.0,61.0,0,0,1,1,0,0,0,0,0
